,artista,listeners,playcount,biografia,artistas_similares
528,Linkin Park,5668557,477731778,"Linkin Park is an American rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. Categorized as alternative rock <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>","['Mike Shinoda', 'Dead by Sunrise', 'Jay-Z and Linkin Park', 'Grey Daze']"
529,Måneskin,1402986,73931486,"Måneskin (Italian pronunciation: ˈmɔːneskin, Danish: ˈmɔːnəˌske̝nˀ, Danish for 'moonshine' or 'moonlight') is an Italian glam rock and funk rock band from Rome, consisting of lead vocalist Damiano David, bassist Victoria De Angelis, guitarist Thomas Raggi, and drummer Ethan Torchio. 
The band rose to fame after finishing second in the eleventh season of the Italian talent show X Factor in 2017. Måneskin won the Sanremo Music Festival 2021 and the Eurovision Song Contest 2021 with the song ZITTI E BUONI  (lit. 'Shut up and behave'). <a href=""https://www.last.fm/music/M%C3%A5neskin"">Read more on Last.fm</a>","['Palaye Royale', 'Mahmood', 'Marco Mengoni', 'Nothing But Thieves']"
530,Jason Aldean,945203,16623553,"Jason Aldean is a country music singer and songwriter. He's had 28 of his 40 singles hit #1 on the Hot Country Songs or Country Airplay charts: ""Why"", ""She's Country"", ""Big Green Tractor"", ""The Truth"", ""Don't You Wanna Stay"" (a duet with Kelly Clarkson), ""Dirt Road Anthem"", ""Fly Over States"", ""Take a Little Ride"", ""The Only Way I Know"" (a collaboration with Luke Bryan and Eric Church), ""Night Train"", ""When She Says Baby"", ""Burnin' It Down"", ""Just Gettin' Started"" <a href=""https://www.last.fm/music/Jason+Aldean"">Read more on Last.fm</a>","['Luke Bryan', 'Chris Young', 'Justin Moore', 'Cole Swindell']"
531,The National,2302917,192681178,"The National are an alternative rock band formed in 1999, by friends from Cincinnati, Ohio, USA. The band's lyrics are written and sung by Matt Berninger in a distinctive, deep baritone. The rest of the band is composed of two pairs of brothers: Aaron Dessner (guitar, bass, keyboards), Bryce Dessner (guitar), Scott Devendorf (bass, guitar) and Bryan Devendorf (drums). 

Their self-titled debut album""The National"" (Brassland 2001) was recorded and released before they had played even a single show. <a href=""https://www.last.fm/music/The+National"">Read more on Last.fm</a>","['Matt Berninger', 'EL VY', 'Frightened Rabbit', 'The War on Drugs']"
532,Paramore,4426608,386198536,"Paramore is an alternative rock band formed in Franklin, Tennessee, United States in 2003. The band currently consists of Hayley Williams (vocals, keyboard), Taylor York (guitar) and Zac Farro (drums). They have released six studio albums: All We Know Is Falling, RIOT! , Brand New Eyes, their first Billboard 200 chart topper Paramore, After Laughter and their grammy winning sixth studio album This is Why .

Paramore, as a quartet, released their debut studio album, All We Know Is Falling, in 2005. <a href=""https://www.last.fm/music/Paramore"">Read more on Last.fm</a>","['Hayley Williams', 'Fall Out Boy', 'PVRIS', 'Tonight Alive']"
533,Måneskin,1402986,73931486,"Måneskin (Italian pronunciation: ˈmɔːneskin, Danish: ˈmɔːnəˌske̝nˀ, Danish for 'moonshine' or 'moonlight') is an Italian glam rock and funk rock band from Rome, consisting of lead vocalist Damiano David, bassist Victoria De Angelis, guitarist Thomas Raggi, and drummer Ethan Torchio. 
The band rose to fame after finishing second in the eleventh season of the Italian talent show X Factor in 2017. Måneskin won the Sanremo Music Festival 2021 and the Eurovision Song Contest 2021 with the song ZITTI E BUONI  (lit. 'Shut up and behave'). <a href=""https://www.last.fm/music/M%C3%A5neskin"">Read more on Last.fm</a>","['Palaye Royale', 'Mahmood', 'Marco Mengoni', 'Nothing But Thieves']"
534,Fall Out Boy,4181181,287954302,"Fall Out Boy are a pop punk band formed in 2001 in Glenview, Illinois after good friends Joe Trohman and Pete Wentz met high schooler Patrick Stump. Stump originally auditioned as a drummer, but soon became the lead singer. The following year, the band debuted with a self-released demo and followed it up with the May 28, 2002 release of Split EP, which featured Project Rocket, on Uprising Records. The group released a mini-LP, Evening Out With Your Girlfriend, also on Uprising Records, in 2003. <a href=""https://www.last.fm/music/Fall+Out+Boy"">Read more on Last.fm</a>","['Patrick Stump', 'Cobra Starship', 'The Academy Is...', 'Panic! at the Disco']"
535,Dominic Fike,1729020,91466848,"Dominic David Fike (Born December 30, 1995) is an American Singer and Alternative hip-hop artist from Naples, Florida. Fike first received recognition after releasing several popular songs on the website SoundCloud. Following the release of his debut EP, Don't Forget About Me, Demos, he signed to Columbia Records. Fike's song ""3 Nights"" reached the top ten in multiple countries. He later collaborated with the band BROCKHAMPTON and singer Halsey. In June 2020, Fike released the single ""Chicken Tenders"". <a href=""https://www.last.fm/music/Dominic+Fike"">Read more on Last.fm</a>","['Jean Dawson', 'Wallows', 'LAUNDRY DAY', 'Between Friends']"
536,Linkin Park,5668557,477731778,"Linkin Park is an American rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. Categorized as alternative rock <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>","['Mike Shinoda', 'Dead by Sunrise', 'Jay-Z and Linkin Park', 'Grey Daze']"
537,Gorillaz,5616283,362918885,"Gorillaz is a British virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett. The band currently consists of four animated members: Murdoc Niccals (bass guitar) who formed the band, 2-D (lead vocals, keyboards), Noodle (guitar, vocals) and Russel Hobbs (drums and percussion). Their fictional universe is explored through animated music videos, interviews and animated shorts. In reality, Albarn is the only permanent musical contributor and often collaborates with other musicians. <a href=""https://www.last.fm/music/Gorillaz"">Read more on Last.fm</a>","['Damon Albarn', 'The Good, the Bad & the Queen', 'Radiohead', 'MGMT']"
538,Hozier,2649017,181385460,"Andrew Hozier-Byrne (born 17 March 1990), known mononymously as Hozier, is an Irish musician and singer-songwriter from Bray, County Wicklow, Ireland. In 2013 he released his debut EP, featuring the hit single ""Take Me to Church"", and his second EP ""From Eden"" in 2014. His debut studio album, ""Hozier"", was released in Ireland in September 2014 and globally in October 2014.

Hozier was born in Bray, County Wicklow, Ireland.  His mother is the visual artist Raine Hozier-Byrne (who also designed his latest album cover). <a href=""https://www.last.fm/music/Hozier"">Read more on Last.fm</a>","['Noah Kahan', 'Lucy Dacus', 'Florence + the Machine', 'The Lumineers']"
539,Royel Otis,563660,8188792,"Dream pop duo Royel Otis is the brainchild of Otis Pavlovic and Royel Maddell. After living in New York for a few years, Royel returned home broke and started working in a bar, where he met Otis fresh out of school. After hanging around on a night out with friends, Otis showed Royel some of the demos he had been working on. Royel took them home and started matching with guitars and some Fat Boy Slim samples he stole during his time in NYC.

The two started having weekly catch upsand churning out tunes in Roy’s Bondi Beach sunroom <a href=""https://www.last.fm/music/Royel+Otis"">Read more on Last.fm</a>","['Spacey Jane', 'BBY', 'Lime Cordiale', 'The Rions']"
540,The Beatles,5507633,812150793,"The Beatles were an English rock band formed in Liverpool, Lancashire in 1960. With the line-up comprising John Lennon, Paul McCartney,  George Harrison and Ringo Starr, they are regarded as the most popular and influential band of all time. The group was integral to the development of 1960s counterculture and popular music's recognition as an art form. Rooted in skiffle, beat and 1950s rock and roll, their sound incorporated elements of classical <a href=""https://www.last.fm/music/The+Beatles"">Read more on Last.fm</a>","['John Lennon', 'George Harrison', 'Paul McCartney', 'Paul McCartney & Wings']"
541,Unknown Mortal Orchestra,1013549,30123348,"Unknown Mortal Orchestra (UMO) is a New Zealand psychedelic rock band formed in Auckland and currently based in Portland, Oregon, USA. Primarily composed of singer, guitarist, and songwriter Ruban Nielson, and bassist Jacob Portrait, the band was started by Nielson in 2010. The band's debut album was released in 2011 on Fat Possum Records. In November 2013, the band's second album, II, won Best Alternative Album at the New Zealand Music Awards. 
 <a href=""https://www.last.fm/music/Unknown+Mortal+Orchestra"">Read more on Last.fm</a>","['Pond', 'Toro y Moi', 'Gum', ""Melody's Echo Chamber""]"
542,Pierce The Veil,1404369,130145802,"Pierce the Veil was founded by Mike Fuentes and Vic Fuentes in 2006, after the disbandment of Before Today. The brothers continued to write songs together and eventually came up with enough material for a new full-length album. Still backed by their label, Equal Vision Records, they wrote and recorded an entire album on their own in Seattle, WA with Producer Casey Bates. The brothers released the album 'A Flair for the Dramatic' on June 26, 2007 under a new name: Pierce the Veil <a href=""https://www.last.fm/music/Pierce+The+Veil"">Read more on Last.fm</a>",[]
543,Big Daddy Weave,124831,1329909,"When it came to naming their new album, the five men who comprise Big Daddy Weave hardly had a choice. The new album all but named itself: Every Time I Breathe.

More than a call to worship, their latest project is a call to life. With Every Time I Breathe, Big Daddy Weave surrenders all that they have, and joyfully admit it is not enough. ""We finally realized it is not the greatness of our offering, but it is the greatness of the God we are offering to that makes the difference,"" says singer/guitarist and primary songwriter Mike Weaver. <a href=""https://www.last.fm/music/Big+Daddy+Weave"">Read more on Last.fm</a>","['MercyMe', 'Sidewalk Prophets', 'Jeremy Camp', 'Matthew West']"
544,Hozier,2649017,181385460,"Andrew Hozier-Byrne (born 17 March 1990), known mononymously as Hozier, is an Irish musician and singer-songwriter from Bray, County Wicklow, Ireland. In 2013 he released his debut EP, featuring the hit single ""Take Me to Church"", and his second EP ""From Eden"" in 2014. His debut studio album, ""Hozier"", was released in Ireland in September 2014 and globally in October 2014.

Hozier was born in Bray, County Wicklow, Ireland.  His mother is the visual artist Raine Hozier-Byrne (who also designed his latest album cover). <a href=""https://www.last.fm/music/Hozier"">Read more on Last.fm</a>","['Noah Kahan', 'Lucy Dacus', 'Florence + the Machine', 'The Lumineers']"
545,Josiah and the Bonnevilles,147433,1869862,"Josiah and The Bonnevilles is American musician Josiah Leming (born March 26, 1989). <a href=""https://www.last.fm/music/Josiah+and+the+Bonnevilles"">Read more on Last.fm</a>","['Oliver Hazard', 'Caamp', 'Watchhouse', 'Hans Williams']"
546,blink-182,4204793,269360187,"Blink-182 is an American punk rock band formed in Poway, California, in 1992. Their current and best-known lineup consists of bassist/vocalist Mark Hoppus, guitarist/vocalist Tom DeLonge, and drummer Travis Barker.

After years of independent recording and touring, including stints on the Warped Tour, the group signed to MCA Records. Their biggest albums, Enema of the State (1999) and Take Off Your Pants and Jacket (2001), saw international success. <a href=""https://www.last.fm/music/blink-182"">Read more on Last.fm</a>","['Box Car Racer', '+44', 'Angels & Airwaves', 'New Found Glory']"
547,Empire of the Sun,2285555,51262228,"Empire of the Sun is an Australian electronic music duo that formed in 2006. The duo consists of Nick Littlemore of Pnau and Luke Steele of The Sleepy Jackson. 

Their debut album, Walking on a Dream, was released on 4 October 2008, and has been certified platinum in Australia. The album included the duo's similarly-titled first single Walking on a Dream and their second single We Are the People. The video for Walking On A Dream was shot in Shanghai and We Are the People was shot in Mexico. <a href=""https://www.last.fm/music/Empire+of+the+Sun"">Read more on Last.fm</a>","['Miami Horror', 'PNAU', 'Capital Cities', 'Roosevelt']"
548,Slightly Stoopid,767148,14288938,"While it’s a rare commodity for a band to tour as consistently as Slightly Stoopid, the group’s diligent commitment to live music provides some insight into their loyal fan base and unique creative metamorphosis throughout their extensive existence. Though it's been a couple of years since the release of their last studio album, Top Of The World (August 14, 2012), the Ocean Beach, California-based group—led by co-founders and multi-instrumentalists <a href=""https://www.last.fm/music/Slightly+Stoopid"">Read more on Last.fm</a>","['Pepper', 'The Movement', 'The Expendables', 'Iration']"
549,Hozier,2649017,181385460,"Andrew Hozier-Byrne (born 17 March 1990), known mononymously as Hozier, is an Irish musician and singer-songwriter from Bray, County Wicklow, Ireland. In 2013 he released his debut EP, featuring the hit single ""Take Me to Church"", and his second EP ""From Eden"" in 2014. His debut studio album, ""Hozier"", was released in Ireland in September 2014 and globally in October 2014.

Hozier was born in Bray, County Wicklow, Ireland.  His mother is the visual artist Raine Hozier-Byrne (who also designed his latest album cover). <a href=""https://www.last.fm/music/Hozier"">Read more on Last.fm</a>","['Noah Kahan', 'Lucy Dacus', 'Florence + the Machine', 'The Lumineers']"
550,Old Dominion,227380,4543032,"A few years back, when Old Dominion got together to record “Make It Sweet,” a beatific number that would appear on their 2019 self-titled LP, it was a definite change in their process: whereas before they’d typically written every song prior to entering the studio, that time around they instead wrote the entire track on the spot, quickly laying it to tape. All in one day.

“That was our first little taste of what that process could be like <a href=""https://www.last.fm/music/Old+Dominion"">Read more on Last.fm</a>","['Thomas Rhett', 'Jordan Davis', 'Lee Brice', 'Jake Owen']"
551,X Ambassadors,956051,14007294,"X Ambassadors is an American alternative rock band hailing from Ithaca, New York. The band was formed in 2009 by brothers Sam and Casey Harris, and childhood friend Noah Feldshuh. Initially, the group started out playing local gigs and self-releasing music, but their unique sound soon caught the attention of record labels.

The band's music is an eclectic mix of genres, including alternative rock, indie rock, and pop. They are known for their energetic and emotional live performances <a href=""https://www.last.fm/music/X+Ambassadors"">Read more on Last.fm</a>","['Grizfolk', 'Imagine Dragons', 'Bastille', 'American Authors']"
552,Hozier,2649017,181385460,"Andrew Hozier-Byrne (born 17 March 1990), known mononymously as Hozier, is an Irish musician and singer-songwriter from Bray, County Wicklow, Ireland. In 2013 he released his debut EP, featuring the hit single ""Take Me to Church"", and his second EP ""From Eden"" in 2014. His debut studio album, ""Hozier"", was released in Ireland in September 2014 and globally in October 2014.

Hozier was born in Bray, County Wicklow, Ireland.  His mother is the visual artist Raine Hozier-Byrne (who also designed his latest album cover). <a href=""https://www.last.fm/music/Hozier"">Read more on Last.fm</a>","['Noah Kahan', 'Lucy Dacus', 'Florence + the Machine', 'The Lumineers']"
553,Phil Wickham,200309,4969458,"Phil Wickham is a Contemporary Christian music vocalist/songwriter and guitarist from California. Since 2003, Phil has launched more than a dozen releases, including: Give You My World (2003), a self-titled album (2006), Cannons (2007), Singalong(2008), Heaven and Earth(2009), Response(2011), Singalong 2 (2012), The Ascension (2013), Singalong 3 (2015), Children of God (2016), Living Hope (2018), Hymn of Heaven (2021) and I Believe (2023).

Born in Orange County, Phil Wickham is the son of the well-known worship leader John Wickham. <a href=""https://www.last.fm/music/Phil+Wickham"">Read more on Last.fm</a>","['Elevation Worship', 'Chris Tomlin', 'Cody Carnes', 'Brandon Lake']"
554,The Rolling Stones,5154672,225468990,"The Rolling Stones is an English rock band formed in London in 1962. Active for six decades, they are one of the most popular and enduring bands of the rock era. In the early 1960s, the Rolling Stones pioneered the gritty, rhythmically driven sound that came to define hard rock. Their first stable line-up consisted of vocalist Mick Jagger, multi-instrumentalist Brian Jones, guitarist Keith Richards, bassist Bill Wyman, and drummer Charlie Watts. During their formative years <a href=""https://www.last.fm/music/The+Rolling+Stones"">Read more on Last.fm</a>","['Keith Richards', 'The Who', 'The Kinks', 'Mick Jagger']"
555,Lauren Daigle,305956,4408068,"Lauren Ashley Daigle, born September 9, 1991, in Lake Charles, Louisiana, is a prominent American singer-songwriter in contemporary Christian music. Raised in Lafayette, Louisiana, she was surrounded by the vibrant sounds of zydeco, blues, and Cajun music, which influenced her musical style. While Lauren always possessed a love for singing, it wasn't until a challenging battle with contagious cytomegalovirus at the age of 15 forced her out of high school for two years that music truly took center stage. <a href=""https://www.last.fm/music/Lauren+Daigle"">Read more on Last.fm</a>","['Francesca Battistelli', 'Tauren Wells', 'Matthew West', 'Crowder']"
556,Phil Wickham,200309,4969458,"Phil Wickham is a Contemporary Christian music vocalist/songwriter and guitarist from California. Since 2003, Phil has launched more than a dozen releases, including: Give You My World (2003), a self-titled album (2006), Cannons (2007), Singalong(2008), Heaven and Earth(2009), Response(2011), Singalong 2 (2012), The Ascension (2013), Singalong 3 (2015), Children of God (2016), Living Hope (2018), Hymn of Heaven (2021) and I Believe (2023).

Born in Orange County, Phil Wickham is the son of the well-known worship leader John Wickham. <a href=""https://www.last.fm/music/Phil+Wickham"">Read more on Last.fm</a>","['Elevation Worship', 'Chris Tomlin', 'Cody Carnes', 'Brandon Lake']"
557,Colton Dixon,52454,862627,"Michael Colton Dixon (born October 19, 1991 in Murfreesboro, Tennessee, United States) is an American singer and a Top 13 finalist on the eleventh season of American Idol. 

Originally rising to fame as lead singer in the Christian rock band, Messenger, formed in 2010, he became a favorite during the early auditions of American Idol. Dixon auditioned in the tenth season, along with his sister Schyler, at the Nashville auditions. However, neither of them ended up in the Top 24. <a href=""https://www.last.fm/music/Colton+Dixon"">Read more on Last.fm</a>","['Jeremy Camp', 'Danny Gokey', 'MercyMe', 'TobyMac']"
558,Man with a Mission,206760,6582724,"MAN WITH A MISSION is a Japanese alternative/rock/pop band formed in Shibuya, Tokyo,  Japan in 2010 consist of TOKYO TANAKA (Vocal), Jean-Ken Johnny (Vocal/Guitar), Kamikaze Boy (Bass), DJ Santa Monica (DJ, Sampling), and SPEAR RIB (Drums). Half-men, half-wolves, the 5 members have taken the world by storm since they entered the underground rock network. The band was signed by a major label in 2011. From then on, they became a real phenomenon: their album and concert tickets almost immediately sell out. <a href=""https://www.last.fm/music/Man+with+a+Mission"">Read more on Last.fm</a>",[]
559,Parmalee,108079,1165896,"Parmalee is a Country Rock band from North Carolina that recently signed with Stoney Creek Records. Their name is derived from the small town of Parmele, NC, where they started creating music in a small barn. Parmalee consists of lead singer and guitarist Matt Thomas, bassist and vocalist Barry Knox (Matt and Scott Thomas' cousin),Josh McSwain (lead guitar, vocals, and friend), and drummer Scott Thomas (Matt's brother).  ""Musta Have A Good Time"" will give you a preview of the new music to come in 2012... <a href=""https://www.last.fm/music/Parmalee"">Read more on Last.fm</a>","['Jordan Davis', 'Dustin Lynch', 'Dylan Scott', 'Thomas Rhett']"
560,Midrift,316629,4649102,"Midrift is a California-based shoegaze band consisting of Gus Mehrkam, Manoa Neukermans, and Kai Neukermans <a href=""https://www.last.fm/music/Midrift"">Read more on Last.fm</a>","['Zeruel', 'Scarlet House', 'sodistilled', 'FlyingFish']"
561,Måneskin,1402986,73931486,"Måneskin (Italian pronunciation: ˈmɔːneskin, Danish: ˈmɔːnəˌske̝nˀ, Danish for 'moonshine' or 'moonlight') is an Italian glam rock and funk rock band from Rome, consisting of lead vocalist Damiano David, bassist Victoria De Angelis, guitarist Thomas Raggi, and drummer Ethan Torchio. 
The band rose to fame after finishing second in the eleventh season of the Italian talent show X Factor in 2017. Måneskin won the Sanremo Music Festival 2021 and the Eurovision Song Contest 2021 with the song ZITTI E BUONI  (lit. 'Shut up and behave'). <a href=""https://www.last.fm/music/M%C3%A5neskin"">Read more on Last.fm</a>","['Palaye Royale', 'Mahmood', 'Marco Mengoni', 'Nothing But Thieves']"
562,The Beatles,5507633,812150793,"The Beatles were an English rock band formed in Liverpool, Lancashire in 1960. With the line-up comprising John Lennon, Paul McCartney,  George Harrison and Ringo Starr, they are regarded as the most popular and influential band of all time. The group was integral to the development of 1960s counterculture and popular music's recognition as an art form. Rooted in skiffle, beat and 1950s rock and roll, their sound incorporated elements of classical <a href=""https://www.last.fm/music/The+Beatles"">Read more on Last.fm</a>","['John Lennon', 'George Harrison', 'Paul McCartney', 'Paul McCartney & Wings']"
563,Fall Out Boy,4181181,287954302,"Fall Out Boy are a pop punk band formed in 2001 in Glenview, Illinois after good friends Joe Trohman and Pete Wentz met high schooler Patrick Stump. Stump originally auditioned as a drummer, but soon became the lead singer. The following year, the band debuted with a self-released demo and followed it up with the May 28, 2002 release of Split EP, which featured Project Rocket, on Uprising Records. The group released a mini-LP, Evening Out With Your Girlfriend, also on Uprising Records, in 2003. <a href=""https://www.last.fm/music/Fall+Out+Boy"">Read more on Last.fm</a>","['Patrick Stump', 'Cobra Starship', 'The Academy Is...', 'Panic! at the Disco']"
564,Milky Chance,1412190,31088762,"Milky Chance is a German alternative pop folk rock duo with reggae and electronic music influences made up of Clemens Rehbein as vocalist and musician and Philipp Dausch as DJ. Both originating from Kassel, they are signed to Kassel-based label Lichtdicht Records.

The duo finished their high school education at Jacob-Grimm Schule. Clemens played in a jazz quartet known as Flown Tones where he played bass guitar. Philipp was a DJ. 

Their first single 'Stolen Dance'  was released in 2012 <a href=""https://www.last.fm/music/Milky+Chance"">Read more on Last.fm</a>","['Henry and the Waiter', 'Sir Sly', 'Broken Back', 'Vance Joy']"
565,Hozier,2649017,181385460,"Andrew Hozier-Byrne (born 17 March 1990), known mononymously as Hozier, is an Irish musician and singer-songwriter from Bray, County Wicklow, Ireland. In 2013 he released his debut EP, featuring the hit single ""Take Me to Church"", and his second EP ""From Eden"" in 2014. His debut studio album, ""Hozier"", was released in Ireland in September 2014 and globally in October 2014.

Hozier was born in Bray, County Wicklow, Ireland.  His mother is the visual artist Raine Hozier-Byrne (who also designed his latest album cover). <a href=""https://www.last.fm/music/Hozier"">Read more on Last.fm</a>","['Noah Kahan', 'Lucy Dacus', 'Florence + the Machine', 'The Lumineers']"
566,Hozier,2649017,181385460,"Andrew Hozier-Byrne (born 17 March 1990), known mononymously as Hozier, is an Irish musician and singer-songwriter from Bray, County Wicklow, Ireland. In 2013 he released his debut EP, featuring the hit single ""Take Me to Church"", and his second EP ""From Eden"" in 2014. His debut studio album, ""Hozier"", was released in Ireland in September 2014 and globally in October 2014.

Hozier was born in Bray, County Wicklow, Ireland.  His mother is the visual artist Raine Hozier-Byrne (who also designed his latest album cover). <a href=""https://www.last.fm/music/Hozier"">Read more on Last.fm</a>","['Noah Kahan', 'Lucy Dacus', 'Florence + the Machine', 'The Lumineers']"
567,Jason Aldean,945203,16623553,"Jason Aldean is a country music singer and songwriter. He's had 28 of his 40 singles hit #1 on the Hot Country Songs or Country Airplay charts: ""Why"", ""She's Country"", ""Big Green Tractor"", ""The Truth"", ""Don't You Wanna Stay"" (a duet with Kelly Clarkson), ""Dirt Road Anthem"", ""Fly Over States"", ""Take a Little Ride"", ""The Only Way I Know"" (a collaboration with Luke Bryan and Eric Church), ""Night Train"", ""When She Says Baby"", ""Burnin' It Down"", ""Just Gettin' Started"" <a href=""https://www.last.fm/music/Jason+Aldean"">Read more on Last.fm</a>","['Luke Bryan', 'Chris Young', 'Justin Moore', 'Cole Swindell']"
568,Pierce The Veil,1404369,130145802,"Pierce the Veil was founded by Mike Fuentes and Vic Fuentes in 2006, after the disbandment of Before Today. The brothers continued to write songs together and eventually came up with enough material for a new full-length album. Still backed by their label, Equal Vision Records, they wrote and recorded an entire album on their own in Seattle, WA with Producer Casey Bates. The brothers released the album 'A Flair for the Dramatic' on June 26, 2007 under a new name: Pierce the Veil <a href=""https://www.last.fm/music/Pierce+The+Veil"">Read more on Last.fm</a>",[]
569,The Elovaters,26590,339174,"The Elovaters are a Boston-based American reggae group formed in 2014. <a href=""https://www.last.fm/music/The+Elovaters"">Read more on Last.fm</a>","['The Movement', 'DENM', 'Arise Roots', 'Stick Figure']"
570,100 gecs,909597,65042738,"100 gecs is an experimental hyperpop duo from St. Louis, Missouri. Formed in 2015, the duo comprises Dylan Brady and Laura Les, who also performs as osno1. 

Brady and Les, who lived in Kirkwood and Webster Groves respectively, initially crossed paths during high school at a rodeo. However, it was not until they reconnected at a house party in 2012 that they contemplated collaborating. Winter of 2015 marked their first foray into joint music production, with recording sessions taking place in Chicago. <a href=""https://www.last.fm/music/100+gecs"">Read more on Last.fm</a>","['Dylan Brady', 'laura les', 'CAKE POP', 'fraxiom']"
571,Metallica,4235958,410421128,"Metallica is an American heavy metal band. The band was formed in 1981 in Los Angeles by vocalist/guitarist James Hetfield and drummer Lars Ulrich, and has been based in San Francisco for most of its career. The band's fast tempos, instrumentals and aggressive musicianship made them one of the founding ""big four"" bands of thrash metal, alongside Megadeth, Anthrax and Slayer. Metallica's current lineup comprises founding members and primary songwriters Hetfield and Ulrich, longtime lead guitarist Kirk Hammett and bassist Robert Trujillo. <a href=""https://www.last.fm/music/Metallica"">Read more on Last.fm</a>","['Megadeth', 'Pantera', 'Slayer', 'Anthrax']"
572,Luke Bryan,961001,19097177,"Luke Bryan is a country singer, songwriter, and television personality. He is one of the world's best-selling music artists, with over 75 million records sold. His first ten albums – I'll Stay Me (2007), Doin' My Thing (2009), Tailgates & Tanlines (2011), Crash My Party (2013), Spring Break...Here to Party (2013), Spring Break...Checkin' Out (2015), Kill the Lights (2015), Farm Tour... Here's to the Farmer (2016), What Makes You Country (2017), and Born Here Live Here Die Here (2020) – have included 30 #1 hits. <a href=""https://www.last.fm/music/Luke+Bryan"">Read more on Last.fm</a>","['Jason Aldean', 'Florida Georgia Line', 'Lee Brice', 'Dierks Bentley']"
573,100 gecs,909597,65042738,"100 gecs is an experimental hyperpop duo from St. Louis, Missouri. Formed in 2015, the duo comprises Dylan Brady and Laura Les, who also performs as osno1. 

Brady and Les, who lived in Kirkwood and Webster Groves respectively, initially crossed paths during high school at a rodeo. However, it was not until they reconnected at a house party in 2012 that they contemplated collaborating. Winter of 2015 marked their first foray into joint music production, with recording sessions taking place in Chicago. <a href=""https://www.last.fm/music/100+gecs"">Read more on Last.fm</a>","['Dylan Brady', 'laura les', 'CAKE POP', 'fraxiom']"
574,Hozier,2649017,181385460,"Andrew Hozier-Byrne (born 17 March 1990), known mononymously as Hozier, is an Irish musician and singer-songwriter from Bray, County Wicklow, Ireland. In 2013 he released his debut EP, featuring the hit single ""Take Me to Church"", and his second EP ""From Eden"" in 2014. His debut studio album, ""Hozier"", was released in Ireland in September 2014 and globally in October 2014.

Hozier was born in Bray, County Wicklow, Ireland.  His mother is the visual artist Raine Hozier-Byrne (who also designed his latest album cover). <a href=""https://www.last.fm/music/Hozier"">Read more on Last.fm</a>","['Noah Kahan', 'Lucy Dacus', 'Florence + the Machine', 'The Lumineers']"
575,Gorillaz,5616283,362918885,"Gorillaz is a British virtual band created in 1998 by musician Damon Albarn and artist Jamie Hewlett. The band currently consists of four animated members: Murdoc Niccals (bass guitar) who formed the band, 2-D (lead vocals, keyboards), Noodle (guitar, vocals) and Russel Hobbs (drums and percussion). Their fictional universe is explored through animated music videos, interviews and animated shorts. In reality, Albarn is the only permanent musical contributor and often collaborates with other musicians. <a href=""https://www.last.fm/music/Gorillaz"">Read more on Last.fm</a>","['Damon Albarn', 'The Good, the Bad & the Queen', 'Radiohead', 'MGMT']"
576,Fall Out Boy,4181181,287954302,"Fall Out Boy are a pop punk band formed in 2001 in Glenview, Illinois after good friends Joe Trohman and Pete Wentz met high schooler Patrick Stump. Stump originally auditioned as a drummer, but soon became the lead singer. The following year, the band debuted with a self-released demo and followed it up with the May 28, 2002 release of Split EP, which featured Project Rocket, on Uprising Records. The group released a mini-LP, Evening Out With Your Girlfriend, also on Uprising Records, in 2003. <a href=""https://www.last.fm/music/Fall+Out+Boy"">Read more on Last.fm</a>","['Patrick Stump', 'Cobra Starship', 'The Academy Is...', 'Panic! at the Disco']"
577,Phil Wickham,200309,4969458,"Phil Wickham is a Contemporary Christian music vocalist/songwriter and guitarist from California. Since 2003, Phil has launched more than a dozen releases, including: Give You My World (2003), a self-titled album (2006), Cannons (2007), Singalong(2008), Heaven and Earth(2009), Response(2011), Singalong 2 (2012), The Ascension (2013), Singalong 3 (2015), Children of God (2016), Living Hope (2018), Hymn of Heaven (2021) and I Believe (2023).

Born in Orange County, Phil Wickham is the son of the well-known worship leader John Wickham. <a href=""https://www.last.fm/music/Phil+Wickham"">Read more on Last.fm</a>","['Elevation Worship', 'Chris Tomlin', 'Cody Carnes', 'Brandon Lake']"
578,Josiah and the Bonnevilles,147433,1869862,"Josiah and The Bonnevilles is American musician Josiah Leming (born March 26, 1989). <a href=""https://www.last.fm/music/Josiah+and+the+Bonnevilles"">Read more on Last.fm</a>","['Oliver Hazard', 'Caamp', 'Watchhouse', 'Hans Williams']"
