,artista,listeners,playcount,biografia,artistas_similares
539,Kill Bill: The Rapper,105652,5667691,"Kill Bill is an internet culture junkie and nostalgic rap musician who falls in love with fictional women. <a href=""https://www.last.fm/music/Kill+Bill:+The+Rapper"">Read more on Last.fm</a>","['Rav', 'Ben Beal', 'Kill Bill', 'Jakey']"
540,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
541,Megan Thee Stallion,1782179,132157760,"Megan Jovon Ruth Pete, known professionally as Megan Thee Stallion, is a North American rapper, songwriter and singer. Originally from Houston, Texas, U.S.A. she first garnered attention when videos of her freestyling became popular on social media platforms such as Instagram. Megan Thee Stallion signed to 300 Entertainment in 2018 where she released the mixtape Fever (2019) and the EP Suga (2020) both of which reached the top ten of the Billboard 200. <a href=""https://www.last.fm/music/Megan+Thee+Stallion"">Read more on Last.fm</a>","['Latto', 'GloRilla', 'Cardi B', 'Flo Milli']"
542,Smoke DZA,371735,3139509,"
Sean Pompey (Born in Harlem, New York NY, United States), better known by his stage name Smoke DZA, is an American rapper who first gained recognition in 2009 with the release of his first mixtape Substance Abuse. He followed it with the release of his 2010 mixtape George Kush Da Button, his release in 2011, Rolling Stoned, and his 2012 release, Rugby Thompson (prod. Harry Fraud). Smoke DZA often references movies and marijuana with a slow, laidback style of rap. <a href=""https://www.last.fm/music/Smoke+DZA"">Read more on Last.fm</a>","['Curren$y', 'Statik Selektah', 'Elcamino', '38 Spesh']"
543,Killer Mike,544317,8641431,"Michael Render, better known by his stage name Killer Mike (born April 20, 1975) is an American rapper. 

Killer Mike released his debut album, Monster, in 2003. The album's lead single was ""Akshon (Yeah!)"", it featured OutKast on guest vocals, and was included on the soundtrack to the 2004 version of EA Sports popular video game Madden NFL. He even made a Madden '04 remix of ""Akshon (Yeah!)"" for the game. Following the release of his own material <a href=""https://www.last.fm/music/Killer+Mike"">Read more on Last.fm</a>","['Run the Jewels', 'El-P', 'Big Boi', 'Big K.R.I.T.']"
544,Kurious,25525,177211,"Kurious is a Puerto Rican rapper hailing from Spanish Harlem, New York City. He made his first notable appearance on the album ""Black Bastards"" by socially conscious, New York rap trio KMD. Since then he's kept a tight connection to MF Doom, the Monsta Island Czars and MF Grimm, and released his debut solo album titled ""A Constipated Monkey"" in 1994. 

The title suggests Kurious packs ""hard shit"" in his lyrics, and he adds a Latin flavor to his songs. <a href=""https://www.last.fm/music/Kurious"">Read more on Last.fm</a>","['Godfather Don', 'L the Head Toucha', 'Flying Pupa', 'Artifacts']"
545,mynameisntjmack,202383,1216298,"mynameisntjmack is a Virginian rapper whose popularity blew up with the release of the LP THE LORDS OF SOUNDS AND LESSER THINGS in 2022 on May 20th. Previous to this, mynameisntjmack had dropped a few singles and an EP called Go Away. In addition to this, he dropped his debut album in 2019 called Sweetboi. <a href=""https://www.last.fm/music/mynameisntjmack"">Read more on Last.fm</a>","['Blvck Svm', 'jev.', 'tg.blk', 'ARDN']"
546,Common,1752737,33775507,"Lonnie Rashid Lynn, Jr. (born March 13, 1972 in Chicago, Illinois), better known by his stage name Common (previously Common Sense), is a Grammy award winning rapper, author and actor known for lyrics that focus on love and spirituality. Signed to Kanye West's G.O.O.D. Music, many people describe him as being a conscious hip hop artist who makes songs that send a message. He debuted in 1992 with the album Can I Borrow a Dollar? and maintained a significant underground following into the late 90s <a href=""https://www.last.fm/music/Common"">Read more on Last.fm</a>","['The Roots', 'Black Star', 'Slum Village', 'Mos Def']"
547,Killer Mike,544317,8641431,"Michael Render, better known by his stage name Killer Mike (born April 20, 1975) is an American rapper. 

Killer Mike released his debut album, Monster, in 2003. The album's lead single was ""Akshon (Yeah!)"", it featured OutKast on guest vocals, and was included on the soundtrack to the 2004 version of EA Sports popular video game Madden NFL. He even made a Madden '04 remix of ""Akshon (Yeah!)"" for the game. Following the release of his own material <a href=""https://www.last.fm/music/Killer+Mike"">Read more on Last.fm</a>","['Run the Jewels', 'El-P', 'Big Boi', 'Big K.R.I.T.']"
548,Killer Mike,544317,8641431,"Michael Render, better known by his stage name Killer Mike (born April 20, 1975) is an American rapper. 

Killer Mike released his debut album, Monster, in 2003. The album's lead single was ""Akshon (Yeah!)"", it featured OutKast on guest vocals, and was included on the soundtrack to the 2004 version of EA Sports popular video game Madden NFL. He even made a Madden '04 remix of ""Akshon (Yeah!)"" for the game. Following the release of his own material <a href=""https://www.last.fm/music/Killer+Mike"">Read more on Last.fm</a>","['Run the Jewels', 'El-P', 'Big Boi', 'Big K.R.I.T.']"
549,Killer Mike,544317,8641431,"Michael Render, better known by his stage name Killer Mike (born April 20, 1975) is an American rapper. 

Killer Mike released his debut album, Monster, in 2003. The album's lead single was ""Akshon (Yeah!)"", it featured OutKast on guest vocals, and was included on the soundtrack to the 2004 version of EA Sports popular video game Madden NFL. He even made a Madden '04 remix of ""Akshon (Yeah!)"" for the game. Following the release of his own material <a href=""https://www.last.fm/music/Killer+Mike"">Read more on Last.fm</a>","['Run the Jewels', 'El-P', 'Big Boi', 'Big K.R.I.T.']"
550,DaBaby,1173641,43068750,"DaBaby was born Jonathan Kirk in Cleveland, Ohio in 1991. By age six, he'd relocated to Charlotte, North Carolina and spent his adolescence engaged in street life. In December 2014, Kirk made a quick decision to become a rapper, taking the name Baby Jesus and issuing his NonFiction mixtape a month later. Never having been on a stage before, he headed to South by Southwest in the spring of 2015. Kirk changed his name to DaBaby, going so far as to explain the ""political reasons"" for this decision in the lyrics to ""DaBaby (Intro) <a href=""https://www.last.fm/music/DaBaby"">Read more on Last.fm</a>","['NLE Choppa', 'Stunna 4 Vegas', 'Roddy Ricch', 'Rich the Kid']"
551,Ameer Vann,203303,3253588,"Ameer Vann is a rapper from Houston, TX, and former member of the rap collective/boyband BROCKHAMPTON with high school friends Kevin Abstract and Matt Champion. Ameer started making music in his freshman year, around the time he met Abstract. <a href=""https://www.last.fm/music/Ameer+Vann"">Read more on Last.fm</a>","['BROCKHAMPTON', '99 NEIGHBORS', 'Kevin Abstract', 'Merlyn Wood']"
552,Don Toliver,1570947,113865879,"Caleb Zackery “Don” Toliver (born June 12, 1994), is a rapper, singer, and songwriter from Houston, Texas. Toliver began his musical career in May 2017, releasing the collaborative mixtape Playa Familia with friend and fellow rapper Yungjosh93.

Don Toliver’s solo debut came just a few months later, with the debut singles “I Gotta” and “Diva” dropping in November and December, respectively. The singles quickly caught the ear of Atlantic Records, which signed Toliver to the label in March 2018. <a href=""https://www.last.fm/music/Don+Toliver"">Read more on Last.fm</a>","['Travi$ Scott', 'Gunna', 'Offset', 'Metro Boomin']"
553,Lava La Rue,206414,1618201,"Aiwa Laurel D-G (More commonly known as Ava Laurel, or stage name Lava La Rue) is a London based visual artist and musician and founder of NiNE8 collective. Lava La Rue, west London rapper and singer is a jack of all trades; Under their belt at the age of 20, they've set to continue making a positive impact on the UK art scene. Their pronouns are they/them/he/her. <a href=""https://www.last.fm/music/Lava+La+Rue"">Read more on Last.fm</a>","['Biig Piig', 'Rosie Lowe', 'Greentea Peng', 'yaya bey']"
554,Killer Mike,544317,8641431,"Michael Render, better known by his stage name Killer Mike (born April 20, 1975) is an American rapper. 

Killer Mike released his debut album, Monster, in 2003. The album's lead single was ""Akshon (Yeah!)"", it featured OutKast on guest vocals, and was included on the soundtrack to the 2004 version of EA Sports popular video game Madden NFL. He even made a Madden '04 remix of ""Akshon (Yeah!)"" for the game. Following the release of his own material <a href=""https://www.last.fm/music/Killer+Mike"">Read more on Last.fm</a>","['Run the Jewels', 'El-P', 'Big Boi', 'Big K.R.I.T.']"
555,Killer Mike,544317,8641431,"Michael Render, better known by his stage name Killer Mike (born April 20, 1975) is an American rapper. 

Killer Mike released his debut album, Monster, in 2003. The album's lead single was ""Akshon (Yeah!)"", it featured OutKast on guest vocals, and was included on the soundtrack to the 2004 version of EA Sports popular video game Madden NFL. He even made a Madden '04 remix of ""Akshon (Yeah!)"" for the game. Following the release of his own material <a href=""https://www.last.fm/music/Killer+Mike"">Read more on Last.fm</a>","['Run the Jewels', 'El-P', 'Big Boi', 'Big K.R.I.T.']"
556,Giraa,5767,52834," <a href=""https://www.last.fm/music/Giraa"">Read more on Last.fm</a>","['lackingluv', 'ayowitty', 'Bhm Zone', 'kaisani']"
557,Justin Stone,84018,1335489,"25-year-old alternative hip-hop artist bringing together a melting pot genre mixed with pop, punk, emo and rap. He is known for his album ""Not Really Famous"". He recently hit 100 million streams on Spotify. Other notable albums include ""Long Time Coming"", ""Beauty in the Struggle"", and ""I’ve Been Here Before"". In addition to these albums, Justin has released a plethora of EPs and singles. Justin was on the Missing Pieces Tour with Hi-Rez and Emilio Rojas. He also was on Ryan Caraveo’s 2018 Spring Tour and on the I Prevail's 2019 Trauma Tour. <a href=""https://www.last.fm/music/Justin+Stone"">Read more on Last.fm</a>","['Ryan Caraveo', 'Jez Dior', 'Witt Lowry', 'Ivan B']"
558,yeat,1132569,237364328,"Noah Olivier Smith, born on February 26, 2000, in Irvine, California, to a Mexican father and Romanian mother, better known by his stage name Yeat, is an American recording artist and producer from Lake Oswego, Oregon. 


He began rapping in 2017 as Lil Yeat, and, after a slew of singles, released his first EP, Deep Blue Strips, in late 2018. In 2019, Yeat would gain further publicity after “Stay Up,” the lead single off his second project and first mixtape, Wake Up Call, received a music video on the popular YouTube channel ELEVATOR. <a href=""https://www.last.fm/music/yeat"">Read more on Last.fm</a>",[]
559,eavil,28,98," <a href=""https://www.last.fm/music/eavil"">Read more on Last.fm</a>","['Sambata', 'VIJAY DK', 'MC GAWTHI', 'DRV']"
560,Boztown,63456,370885,"In 2016, Boztown took a turn and progressed in the Beatmaking, the Sample-based on a Hip-hop tempo in Soul/Funk/Jazz colors from the 50s to 70s.
The search for an authentic sound and the musical influence of black American culture are the unconditional foundations of the project.
From the vintage sample rhythm of a vintage beat, on a vintage mix, for catchy music, punchy and Vint ...! 

https://boztown.bandcamp.com/
https://www.facebook.com/Boztownmusic <a href=""https://www.last.fm/music/Boztown"">Read more on Last.fm</a>","['Degiheugi', 'Poldoore', 'Kognitif', 'Roger Molls']"
561,Maeta,164755,1560781,"On her new EPHabits, rising R&B songstress Maeta(20) sounds comfortable and self-assured. Fully encompassing the highs and lows of young love, the project offers the Indianapolis-native, now Los Angeles-based artist reflecting on past relationships that she’s outgrown (lead single “Teen Scene,” produced by Kaytranada) and contemplating the uncertainties that come with interpersonal connection (“Doesn’t Mean A Thing,” produced by Teddy Walton). <a href=""https://www.last.fm/music/Maeta"">Read more on Last.fm</a>","['Ambré', 'Kiana Ledé', 'Destin Conrad', 'Tone Stith']"
562,Rowlan,27297,200344,"Thomas Rowland, born in Barnstable, Massachusetts on March 18, 1993. He is professionally known as Rowlan, and is an American rapper, singer, songwriter and record producer. He initially gained recognition through his remix of “Nikes On My Feet” by Mac Miller. The song reached over 500 thousand streams total with over 100 thousand views on the YouTube video.

He since has put out over 100 songs in single and EP format, much of which has helped him gradually grow his following with his fans. <a href=""https://www.last.fm/music/Rowlan"">Read more on Last.fm</a>","['P.MO', 'J-Wright', 'Anilyst', 'Kvng Moses']"
563,K.A.A.N.,102163,3431281,"Maryland-based rapper Brandon Perry, known as Knowledge Above All Nonsense (abbreviated to K.A.A.N), is best known for his cynical, twisted tracks and fast bars. His music is heavily influenced by the abuse he has experienced, including substances, his musical idols growing up, his depression and anxiety, and his struggle to grow his fan-base. K.A.A.N is not one to use simple language – his vocabulary is far larger than that of other rappers around and he flaunts it within his tracks often. <a href=""https://www.last.fm/music/K.A.A.N."">Read more on Last.fm</a>","['Anonymuz', 'Joyner Lucas', 'Vin Jay', 'Token']"
564,eavil,28,98," <a href=""https://www.last.fm/music/eavil"">Read more on Last.fm</a>","['Sambata', 'VIJAY DK', 'MC GAWTHI', 'DRV']"
565,Wynne,72267,515455,"Call her a poison apple to hip-hop, Wynne raps with venom, fury, intensity, and consciousness all at once. Born and raised in a Portland suburb, she grew up an outsider, finding solace in her favorite rappers. While studying social justice and music at University of Oregon, she started releasing music of her own online. After a couple years of sparse singles, viral moments, building with Portland's local hip-hop community, and cosigns from some of Hip-Hop’s greats, Wynne is here to deliver her debut mixtape. <a href=""https://www.last.fm/music/Wynne"">Read more on Last.fm</a>","['KOTA The Friend', 'Armani Caesar', 'Chris Patrick', 'Jack Harlow']"
566,Justin Stone,84018,1335489,"25-year-old alternative hip-hop artist bringing together a melting pot genre mixed with pop, punk, emo and rap. He is known for his album ""Not Really Famous"". He recently hit 100 million streams on Spotify. Other notable albums include ""Long Time Coming"", ""Beauty in the Struggle"", and ""I’ve Been Here Before"". In addition to these albums, Justin has released a plethora of EPs and singles. Justin was on the Missing Pieces Tour with Hi-Rez and Emilio Rojas. He also was on Ryan Caraveo’s 2018 Spring Tour and on the I Prevail's 2019 Trauma Tour. <a href=""https://www.last.fm/music/Justin+Stone"">Read more on Last.fm</a>","['Ryan Caraveo', 'Jez Dior', 'Witt Lowry', 'Ivan B']"
567,Hemanifezt,459,914," <a href=""https://www.last.fm/music/Hemanifezt"">Read more on Last.fm</a>","['The Passion HIFI', 'Fika Phan Tri', 'YMN jC', 'Shawn2Legit']"
568,HotInHipHop,61,230," <a href=""https://www.last.fm/music/HotInHipHop"">Read more on Last.fm</a>","['CÜSI', 'Sick Biz', 'frawst', 'Spend The Night']"
569,Murs,359967,5268370,"Murs (born Nick Carter, March 16, 1978), is an underground MC from Mid-City Los Angeles, CA.  The name 'MURS' is an acronym for Making Underground Raw Shit. He began to opening eyes as a solo artist in 2002, with the releases of both the full length Def Jux release The End Of The Beginning and the more introspective Varsity Blues EP.  Then Murs & 9th Wonder releasing an even more popular and critically acclaimed album called Murs 3:16 - The 9th Edition. <a href=""https://www.last.fm/music/Murs"">Read more on Last.fm</a>","['Living Legends', 'Brother Ali', 'Atmosphere', 'Mr. Lif']"
570,Luna Fortuna,6,10," <a href=""https://www.last.fm/music/Luna+Fortuna"">Read more on Last.fm</a>",[]
571,Megan Thee Stallion,1782179,132157760,"Megan Jovon Ruth Pete, known professionally as Megan Thee Stallion, is a North American rapper, songwriter and singer. Originally from Houston, Texas, U.S.A. she first garnered attention when videos of her freestyling became popular on social media platforms such as Instagram. Megan Thee Stallion signed to 300 Entertainment in 2018 where she released the mixtape Fever (2019) and the EP Suga (2020) both of which reached the top ten of the Billboard 200. <a href=""https://www.last.fm/music/Megan+Thee+Stallion"">Read more on Last.fm</a>","['Latto', 'GloRilla', 'Cardi B', 'Flo Milli']"
572,lil Mosey,763070,19638253,"Lathan Moses Stanley Echols (born January 25, 2002), known professionally as Lil Mosey, is an American rapper, singer, and songwriter. He first gained mainstream success with his song ""Noticed"", which peaked at #80 on the Billboard Hot 100. He dropped his debut mixtape Northsbest in 2018, which was eventually certified Gold. A year later, he dropped his sophomore mixtape, Certified Hitmaker, featuring Gunna, Chris Brown, and Trippie Redd. Shortly afterwards <a href=""https://www.last.fm/music/lil+Mosey"">Read more on Last.fm</a>",[]
573,Common,1752737,33775507,"Lonnie Rashid Lynn, Jr. (born March 13, 1972 in Chicago, Illinois), better known by his stage name Common (previously Common Sense), is a Grammy award winning rapper, author and actor known for lyrics that focus on love and spirituality. Signed to Kanye West's G.O.O.D. Music, many people describe him as being a conscious hip hop artist who makes songs that send a message. He debuted in 1992 with the album Can I Borrow a Dollar? and maintained a significant underground following into the late 90s <a href=""https://www.last.fm/music/Common"">Read more on Last.fm</a>","['The Roots', 'Black Star', 'Slum Village', 'Mos Def']"
574,Conspirituality,1425,21497,"Conspirituality can refer to more than one artist.

PODCAST - Dismantling New Age cults, wellness grifters, and conspiracy-mad yogis. At best, the conspirituality movement attacks public health efforts in times of crisis. At worst, it fronts and recruits for the fever-dream of QAnon.As the alt-right and New Age horseshoe toward each other in a blur of disinformation, clear discourse, and good intentions get smothered. Charismatic influencers exploit <a href=""https://www.last.fm/music/Conspirituality"">Read more on Last.fm</a>","['The Phormula', 'Sick Since', 'East Coast Avengers', 'The Lost Children of Babylon']"
575,AZ,508130,5778337,"Anthony Cruz (born March 9, 1972 in Brooklyn, New York), better known by his stage name AZ, is a Grammy-nominated rapper currently residing in Englewood, New Jersey. He is mainly known for his close association with Nas, his membership in the hip hop supergroup The Firm, and his multi-syllabic rhyming pattern and deep content within his solo albums. He released his debut album, Doe or Die, in 1995 and has since released 1998's Pieces of a Man, 2001's 9 Lives, 2002's Aziatic, 2005's A. <a href=""https://www.last.fm/music/AZ"">Read more on Last.fm</a>","['Kool G Rap', 'Cormega', 'Big L', 'Nas']"
576,MoneyBagg Yo,578575,16253133,"Demario DeWayne White, Jr. (born September 22, 1991), better known by his stage name Moneybagg Yo, is an American rapper. He signed to Yo Gotti's record label CMG in October 2016.[1] He also signed a distribution deal with Interscope.[2][3] His latest two projects, Federal 3X and 2 Heartless, debuted at number 5 and number 16 on the Billboard 200, respectively.

Career
His early mixtapes were issued in 2012, including From The Da Block 2 Da Booth and October 20th. <a href=""https://www.last.fm/music/MoneyBagg+Yo"">Read more on Last.fm</a>",[]
577,LIL UZI VERT,2083789,292104667,"Symere Bysil Woods (born July 31, 1995, Philadelphia, USA), known professionally as Lil Uzi Vert, is an American rapper, singer, and songwriter. Characterized by their face tattoos, facial piercings, eccentric hairstyles, and androgynous fashion, their music is often defined by dark subject matters and imagery built on a melodic emo approach to trap.

They attracted mainstream attention following the release of their debut single ""Money Longer"" in 2016. <a href=""https://www.last.fm/music/LIL+UZI+VERT"">Read more on Last.fm</a>",[]
578,YEEK,387381,6241158,"Born & partially raised in New Jersey while spending developing years in both Southwest Florida & California, Yeek is a singer-songwriter/producer.  Notably coined as an early adopter of the 'genre-bending' space and breaking through the essence of what ‘DIY’ stands for, Yeek is a creative in every sense of the word -- straddling between the worlds of music, film, fashion, & art. <a href=""https://www.last.fm/music/YEEK"">Read more on Last.fm</a>","[""Dre'es"", 'Kevin Abstract', 'DUCKWRTH', 'Ag Club']"
579,Ginge,38542,196807,"Her voice can be sultry and sharp at the same time, making her sound both sweet and spicy. GINGE is an independent artist from the Netherlands. Inspired by artists like Joy Crookes, Amy Winehouse & Snoh Aalegra, she makes songs that are a mixture of RnB, Pop, and Neo-soul.

In 2017 GINGE started writing and making her own music. Starting out with producer Clarx Kent she found the power of turning her own experiences into her songs. With the help of .multibeat she embraced her soulful side. <a href=""https://www.last.fm/music/Ginge"">Read more on Last.fm</a>","['Son Mieux', 'Alex Isley', 'Muylike', 'Vitor Brauer']"
580,eavil,28,98," <a href=""https://www.last.fm/music/eavil"">Read more on Last.fm</a>","['Sambata', 'VIJAY DK', 'MC GAWTHI', 'DRV']"
581,Reverie,31906,304809,"There are many artists of the same name.

Reverie is a progressive black/death metal band from Copenhagen, Denmark playing music in the vein of/but not exclusive to Master's Hammer, Bethlehem.  

Chicago band ""Reverie"" became Model Stranger back in November 2009.  They are responsible for the album Shaky Coma

The Reverie out of Montana is on last fm as Reverie (acoustic black metal)  their site is www.myspace.com/thetruereverie

One is a trio from Australia who were together for a short while consisting of Chris and Lisa Atwood <a href=""https://www.last.fm/music/Reverie"">Read more on Last.fm</a>","['Vel the Wonder', 'Gavlyn', 'Dilated Peoples', 'DJ Honda']"
582,Glorilla,507541,8576169,"Gloria Hallelujah Woods (born July 28, 1999), known professionally as GloRilla, is an American rapper and songwriter from Memphis, Tennessee. She first became known for her 2022 single F.N.F. (Let's Go)
, which peaked within the top 50 of the Billboard Hot 100 and led her to sign with fellow Memphis rapper, Yo Gotti's record label, Collective Music Group, an imprint of Interscope Records in July of that year. Released that same month, her follow-up single <a href=""https://www.last.fm/music/Glorilla"">Read more on Last.fm</a>",[]
583,NF,1017129,70629574,"NF is the stage name of rapper and composer Nate Feuerstein from Gladwin, Michigan. Feuerstein endured a hardship-filled childhood in which his parents divorced, his mother's boyfriend physically abused him, and his mother eventually killed herself. Music was his escape, and he began recording songs on a karaoke machine, with instrumentals on one microphone and his raps in the other. Placing second in a nationwide Fine Arts Festival rap competition in 2008 <a href=""https://www.last.fm/music/NF"">Read more on Last.fm</a>","['Witt Lowry', 'Ivan B', 'Lucidious', 'Joyner Lucas']"
584,Justin Stone,84018,1335489,"25-year-old alternative hip-hop artist bringing together a melting pot genre mixed with pop, punk, emo and rap. He is known for his album ""Not Really Famous"". He recently hit 100 million streams on Spotify. Other notable albums include ""Long Time Coming"", ""Beauty in the Struggle"", and ""I’ve Been Here Before"". In addition to these albums, Justin has released a plethora of EPs and singles. Justin was on the Missing Pieces Tour with Hi-Rez and Emilio Rojas. He also was on Ryan Caraveo’s 2018 Spring Tour and on the I Prevail's 2019 Trauma Tour. <a href=""https://www.last.fm/music/Justin+Stone"">Read more on Last.fm</a>","['Ryan Caraveo', 'Jez Dior', 'Witt Lowry', 'Ivan B']"
585,Dj Flipcyide,2492,7523,"DJ FLIPCYIDE AKA: THA BIGG BO$$ MAN BORN AND RAISED IN THE 915 BUT NOW REPRESENTS FOR THE WHOLE STATE OF TEXAS IS A VETERAN DJ FOR 16 YEARS AND IS NO STRANGER ON HOW TO ROCK THE SPOT ON ANY KIND OF TUNTABLES OR PUT A HOT MIXTAPE TOGETHOR BETTER THAN HIS COMPETITION, WITH ACTUAL REAL HOSTING, MIXING, SCRATCHING, ENGINERING AND MASTERING.
DJ FLIPCYIDE HAS ALREADY WORKED WITH OR IS IN THE PROGRESS OF WORKING WITH:
PAUL WALL
SPIDER LOC FROM G-UNIT
TWO FIVE(50 CENTS COUSIN) <a href=""https://www.last.fm/music/Dj+Flipcyide"">Read more on Last.fm</a>","['Jay Royale', 'ILL Conscious', 'Taiyamo Denku', 'Juju NVM']"
586,Kaliii,231290,1386798,"Kaliya Ashley Ross, known professionally as Kaliii or simply Kali, is an American rapper from Roswell, Georgia. She is noted for her songs poking fun at past partners and her carefree attitude. She is of Panamanian descent. <a href=""https://www.last.fm/music/Kaliii"">Read more on Last.fm</a>","['Big Boss Vette', 'Latto', 'Flo Milli', 'Asian Doll']"
587,Turbo,210557,4410872,"There are multiple artists using this name:

1. Turbo is a Polish metal band. It was started in January 1980 by Henryk Tomczak (formerly in Stress and Heam, both pioneering Polish hard rock groups). The first line-up were formed by Wojciech Hoffmann – guitar, Wojciech Anioła – drums and Wojciech Sowula – vocals. Soon a single was released, the tracks being W środku tej nocy (Deep in the Night) and Byłem z tobą tyle lat (So many years with you). <a href=""https://www.last.fm/music/Turbo"">Read more on Last.fm</a>","['TSA', 'Kat', 'Acid Drinkers', 'Kat & Roman Kostrzewski']"
588,kanii,516140,13041195,"Kanii is a 19 year old rapper. He was born August 2, 2005 in Washington, D.C. He is best known for his song ""I Know,"" which went viral on TikTok and charted in multiple territories. You can check out more of his other songs on Kanii Archive. <a href=""https://www.last.fm/music/kanii"">Read more on Last.fm</a>","['KANII ARCHIVE', 'Lumi Athena', 'Capzlock', 'XXANTERIA']"
589,yeyts.,141234,838512," <a href=""https://www.last.fm/music/yeyts."">Read more on Last.fm</a>","['Enjo', 'tusken.', 'otesla', 'Konteks']"
590,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
591,Blu,346683,5579317,"There are 2 artists with the name Blu:
1. An American rapper and producer from Los Angeles, California.
2. An ambient drum and bass musician located in the United Kingdom.

(1) Johnson Barnes (born April 15, 1983 in Inglewood, California), better known by the stage name Blu, is an American rapper and producer. In 2007 he released his debut album, ""Below the Heavens"", which was produced entirely by Exile, one half of Emanon. Since then he has collaborated with Mainframe under the name Johnson&Jonson, and with Ta'Raach under the name C. <a href=""https://www.last.fm/music/Blu"">Read more on Last.fm</a>","['Blu & Exile', 'Elzhi', 'Fashawn', 'Skyzoo']"
592,Jim,46412,321722,"There are at least two artists called Jim

1. Debuting in 2021 on the folk-informed Falling That You Know EP, Jim is the latest alias of songwriter, multi-instrumentalist and renowned DJ Jim Baron. Famed as co-founder and musical director of festival-stunning favourites Crazy P, his latest Jim project is a musical journey unlike anything he has done before.

Debut album Love Makes Magic was released on June 2, 2023 

2. French Hip-Hop producer since 2009. <a href=""https://www.last.fm/music/Jim"">Read more on Last.fm</a>","['Kill Emil', 'Mononome', 'Roger Molls', 'Mr. Green']"
593,Ginge,38542,196807,"Her voice can be sultry and sharp at the same time, making her sound both sweet and spicy. GINGE is an independent artist from the Netherlands. Inspired by artists like Joy Crookes, Amy Winehouse & Snoh Aalegra, she makes songs that are a mixture of RnB, Pop, and Neo-soul.

In 2017 GINGE started writing and making her own music. Starting out with producer Clarx Kent she found the power of turning her own experiences into her songs. With the help of .multibeat she embraced her soulful side. <a href=""https://www.last.fm/music/Ginge"">Read more on Last.fm</a>","['Son Mieux', 'Alex Isley', 'Muylike', 'Vitor Brauer']"
594,Gucci Mane,2318468,47647445,"Radric Davis (born February 12, 1980 in Birmingham, Alabama), better known by his stage name Gucci Mane, is an American rapper and CEO of 1017 Brick Squad Records. In 2005 he released his independent debut album, Trap House, which featured the successful single ""Icy"" that he recorded with Young Jeezy. He has since released a further three albums including 2006's Hard To Kill, 2007's Trap-A-Thon and 2007's Back To The Trap House. His sixth studio album <a href=""https://www.last.fm/music/Gucci+Mane"">Read more on Last.fm</a>","['OJ da Juiceman', 'Young Dolph', 'Young Jeezy', 'Waka Flocka Flame']"
595,Ginge,38542,196807,"Her voice can be sultry and sharp at the same time, making her sound both sweet and spicy. GINGE is an independent artist from the Netherlands. Inspired by artists like Joy Crookes, Amy Winehouse & Snoh Aalegra, she makes songs that are a mixture of RnB, Pop, and Neo-soul.

In 2017 GINGE started writing and making her own music. Starting out with producer Clarx Kent she found the power of turning her own experiences into her songs. With the help of .multibeat she embraced her soulful side. <a href=""https://www.last.fm/music/Ginge"">Read more on Last.fm</a>","['Son Mieux', 'Alex Isley', 'Muylike', 'Vitor Brauer']"
596,Ginge,38542,196807,"Her voice can be sultry and sharp at the same time, making her sound both sweet and spicy. GINGE is an independent artist from the Netherlands. Inspired by artists like Joy Crookes, Amy Winehouse & Snoh Aalegra, she makes songs that are a mixture of RnB, Pop, and Neo-soul.

In 2017 GINGE started writing and making her own music. Starting out with producer Clarx Kent she found the power of turning her own experiences into her songs. With the help of .multibeat she embraced her soulful side. <a href=""https://www.last.fm/music/Ginge"">Read more on Last.fm</a>","['Son Mieux', 'Alex Isley', 'Muylike', 'Vitor Brauer']"
597,Ginge,38542,196807,"Her voice can be sultry and sharp at the same time, making her sound both sweet and spicy. GINGE is an independent artist from the Netherlands. Inspired by artists like Joy Crookes, Amy Winehouse & Snoh Aalegra, she makes songs that are a mixture of RnB, Pop, and Neo-soul.

In 2017 GINGE started writing and making her own music. Starting out with producer Clarx Kent she found the power of turning her own experiences into her songs. With the help of .multibeat she embraced her soulful side. <a href=""https://www.last.fm/music/Ginge"">Read more on Last.fm</a>","['Son Mieux', 'Alex Isley', 'Muylike', 'Vitor Brauer']"
