,genero_musica,artista,listeners,playcount,biografia,artistas_similares
634,hiphop,Ayrtn,77164,1928155,"Up and coming 21 year-old artist Ayrtn may only be at the start of his music career but he has already proven a lot. He was born and raised in South East London started producing at the age of 12 for fun. After recognising his talent he started to take it seriously between the ages of 16 and 17. Making beat after beat he decided to start rapping over them and upload them to Soundcloud. Through doing so he started to see a small success through gaining recognition from his musical peers, friends and his family. <a href=""https://www.last.fm/music/Ayrtn"">Read more on Last.fm</a>","['Bawo', 'Finn Foxell', 'Sainté', 'Knucks']"
638,hiphop,J-Live,203834,2005685,"J-Live was born and raised in Uptown Manhattan, New York City. After making a home for himself in Brooklyn upon graduating from SUNY at Albany, J relocated to Philadelphia in 2003. ""Moving to Philly was more for the family than any kind of career move. But the whole music scene here and the hip hop community here have embraced me with open arms since I arrived. I've gotten a lot of support from so many different artists and dee jays. This city is jam packed with talented and beautiful people."" <a href=""https://www.last.fm/music/J-Live"">Read more on Last.fm</a>","['People Under the Stairs', 'Hieroglyphics', 'One Be Lo', 'Jeru the Damaja']"
650,hiphop,Adé Hakim,18114,251784,"Adé Hakim Sayyed, also known by Sixpress, is an American rapper and producer. He was a member of the New York City experimental hip hop collective Slums. The group consisted of Adé Hakim, MIKE, King Carter, Jazz Jodi (Jazz.10k), Darryl Johnson, and Mason Dreiling. This group possibly influenced the sound of Earl Sweatshirt's album ""Some Rap Songs"", and is sometimes credited for ushering in a new renaissance of underground hip-hop, sometimes called ""jazz-rap"" or ""abstract hip-hop"". <a href=""https://www.last.fm/music/Ad%C3%A9+Hakim"">Read more on Last.fm</a>","['Medslaus', 'JODI.10K', 'Rago Foot', 'Kill Em All']"
653,hiphop,42 Dugg,304247,9542322,"Dion Marquise Hayes, better known by his stage name 42 Dugg, is an American rapper from Detroit, Michigan. He is jointly signed to rappers Lil Baby and Yo Gotti's respective labels 4 Pockets Full (4PF) and Collective Music Group (CMG), in conjunction with Interscope Records. Hayes was raised in the Outer-Drive Hayes neighborhood on the east side of Detroit, and grew up listening to Yo Gotti and Jeezy. Hayes first gained traction for tracks ""The Streets"" and ""STFU"". <a href=""https://www.last.fm/music/42+Dugg"">Read more on Last.fm</a>","['EST Gee', 'IceWear Vezzo', 'Pooh Shiesty', 'Moneybagg Yo']"
659,hiphop,Various Artists,661149,10093213,"Warning! Deleting this artist may remove other artists and scrobbles from your library - please handle this with caution!

Note: You can view albums tagged as 'Various Artists' in your library here. 

The term Various Artists is used in the record industry when numerous singers and musicians collaborate on a song or collection of songs. Most often on Last.fm, compilation album tracks appear under the name of Various Artists erroneously because the individual artist is not listed in the album's ID3 information. <a href=""https://www.last.fm/music/Various+Artists"">Read more on Last.fm</a>",[]
663,hiphop,Janelle Monáe,1145697,45565652,"Janelle Monáe (born Janelle Monáe Robinson on December 1, 1985 in Kansas City, Kansas) is an American singer, songwriter, dancer, producer, actor and performer.

They moved to New York to study theatre at the American Musical and Dramatic Academy. Their original plan was to pursue a career on Broadway, but they soon changed their mind and returned to music. After moving to Atlanta, Georgia in 2003,  Monáe founded the Wondaland Arts Society with like-minded young artists <a href=""https://www.last.fm/music/+noredirect/Janelle+Mon%C3%A1e"">Read more on Last.fm</a>","['Solange', 'Victoria Monét', 'Amaarae', 'Kelela']"
667,hiphop,Diplox,43,519," <a href=""https://www.last.fm/music/Diplox"">Read more on Last.fm</a>","['Blicklist', 'Toylery', 'Pacifoko', 'BalZ']"
668,hiphop,GINA TURNER,4073,10134,"Originally hailing from New York, Gina Turner grew up with the NYC House sounds of clubs like Shelter and Sound Factory. Drawing inspiration from places such as these, she moved to Boston and gained her own radio shows on 88.9 WERS and 
99.9 WECB. She soon became a staple in the Boston club scene and then in 2006 moved to Los Angeles. In LA she formed the DJ duo STACCATO (myspace.com/officialstaccato) and continued with radio and club, and founded an afterhours movement called MAJOR (myspace. <a href=""https://www.last.fm/music/GINA+TURNER"">Read more on Last.fm</a>","['Julia Govor', 'viels', 'Go Freek', 'Jessie Andrews']"
672,hiphop,Rock-Solid,14,44," <a href=""https://www.last.fm/music/+noredirect/Rock-Solid"">Read more on Last.fm</a>",[]
681,hiphop,Flowervillain,81645,652776,"Flowervillain is a remix artist, best known for mixing MF DOOM and Tyler, the Creator  which is where the moniker Flowervillain comes from (Tyler = Flower(Boy) & MF DOOM = (Super)villain) <a href=""https://www.last.fm/music/Flowervillain"">Read more on Last.fm</a>","['Felly', 'ovrkast.', '¿Téo?', 'lojii']"
687,hiphop,OhGeesy,162144,2659181," <a href=""https://www.last.fm/music/OhGeesy"">Read more on Last.fm</a>","['Shoreline Mafia', 'FENIX FLEXIN', 'Rucci', 'Drakeo The Ruler']"
689,hiphop,KVSPER,5454,36156," <a href=""https://www.last.fm/music/KVSPER"">Read more on Last.fm</a>","['Isaac Lewis', 'Adriana Proenza', 'Aidan Ochre', 'Royaljag']"
694,hiphop,Tank,393929,4000146,"There are mutliple artists with this name:


1) Tank (stylized as TANK) is the name of two British heavy metal bands, both of which stem from a band formed in 1980 by Algy Ward (ex-The Saints, ex-The Damned).  The band's brand filthy metal was loved by both punk and metal fans.  The original band is known as part of the new wave of British heavy metal movement. Tank was often compared to Motörhead as both bands were trios fronted by singing bassists, and played a loose, almost punk-styled metal music with often colourful lyrics. <a href=""https://www.last.fm/music/Tank"">Read more on Last.fm</a>","['Omen', 'Warfare', 'Trey Songz', 'Tyrese']"
699,hiphop,Real Hip Hop Is Over Here,6,12," <a href=""https://www.last.fm/music/Real+Hip+Hop+Is+Over+Here"">Read more on Last.fm</a>",[]
700,hiphop,Trap Nation (US),5685,21470," <a href=""https://www.last.fm/music/Trap+Nation+(US)"">Read more on Last.fm</a>","['AMOGUS', 'As Tequileiras do Funk', 'XvallariX', 'Jeck best']"
702,hiphop,DaniLeigh,326164,3474213,"Danielle Leigh Curiel (born December 20, 1994), known professionally as DaniLeigh, is an Dominican-American singer, dancer, rapper, and choreographer. <a href=""https://www.last.fm/music/DaniLeigh"">Read more on Last.fm</a>","['Ella Mai', 'Kiana Ledé', 'Jeremih', 'Kaash Paige']"
704,hiphop,Hip Hop Lofi,1417,17946," <a href=""https://www.last.fm/music/Hip+Hop+Lofi"">Read more on Last.fm</a>","['Lo-Fi for Studying', 'SlowFi Beats', 'Beats Instrumental Lofi', 'Lofi Beats & Rap Beats']"
712,hiphop,Marsha Ambrosius,138563,1078250,"Already proven as a talented, sought after songwriter and revered platinum-selling artist, Marsha Ambrosius is meeting the next challenge in her already impressive musical career by reinventing herself as a solo artist with her J Records debut disc LATE NIGHTS & EARLY MORNINGS.

Hailing from Liverpool, England, fans first got a taste of Marsha’s talent as the singing half of the duo Floetry. Their 2000 debut Floetic produced signature singles like “Say Yes"" and ""Getting Late"" as well as four Grammy nods. <a href=""https://www.last.fm/music/Marsha+Ambrosius"">Read more on Last.fm</a>","['Ledisi', 'Lalah Hathaway', 'Raheem DeVaughn', 'Vivian Green']"
718,hiphop,Kevin Gates,572442,11707711,"Kevin Gilyard (born February 5, 1986), better known by his stage name Kevin Gates, is an American rapper and singer from Baton Rouge, Louisiana. In 2013, it was announced that Gates signed to Young Money Entertainment.
Kevin Gates first began rapping in 2007, when he began making music with fellow Louisiana natives such as Webbie and Lil Boosie. Gates first received attention with his 2008 single ""Get in the Way"" featuring Lil Boosie. Soon after, he and Boosie would be incarcerated in separate cases. <a href=""https://www.last.fm/music/Kevin+Gates"">Read more on Last.fm</a>","['Boosie Badazz', 'Moneybagg Yo', 'Mo3', 'YFN Lucci']"
724,hiphop,Jason Derulo,1357902,20553190,"This is an incorrect tag for Jason Derülo. If you have last.fm Autocorrection turned on, your scrobbles will automatically redirect to the correct artist name. Otherwise, please fix your artist ID3 tags. <a href=""https://www.last.fm/music/+noredirect/Jason+Derulo"">Read more on Last.fm</a>",[]
726,hiphop,Hip-Oh!,17,120," <a href=""https://www.last.fm/music/Hip-Oh%21"">Read more on Last.fm</a>",['Goodfires']
729,hiphop,OHTORA,5530,29740," <a href=""https://www.last.fm/music/OHTORA"">Read more on Last.fm</a>","['SARA-J', 'maco marets', 'HENTAI SHINSHI CLUB', 'Boku no Lyric no Boyomi']"
732,hiphop,Sueco,277375,11441984,"William Schultz (b. January 28, 1997), better known by his stage name Sueco, (previously Sueco The Child), is an American rapper and producer coming from Los Angeles, California.

Sueco started gaining attention by uploading various videos on Instagram of him making beats out of many different things, but he didn’t reach the mainstream attention until his hit single “fast” (originally released on April 1, 2019) blew up out of no where due to it going viral on TikTok. <a href=""https://www.last.fm/music/Sueco"">Read more on Last.fm</a>","['MOD SUN', 'Machine Gun Kelly', 'Magnolia Park', 'jxdn']"
736,hiphop,Jaypitts,24151,158417," <a href=""https://www.last.fm/music/Jaypitts"">Read more on Last.fm</a>","['Enframe', 'King Green', 'Kateel', 'Jean Carter']"
741,hiphop,dkj,162531,1322265,"Producer from Philadelphia <a href=""https://www.last.fm/music/dkj"">Read more on Last.fm</a>","['ta2cute', 'Adrian', 'paulie leparik', 'Cash!*']"
744,hiphop,Flowdan,77855,575247,"Flowdan (also spelled Flow Dan, real name Mark Viera) is an MC from East London. He is one of the founding and longest serving members of the Roll Deep crew, after joining from UK garage collective Pay As You Go, and is also a part of the collective Cemetary Warriors.

Flow Dan started as a jungle MC in the late nineties before starting Roll Deep with Wiley. While at Roll Deep he has featured on all the main singles and featured on all three major CD releases: Rules & Regulations <a href=""https://www.last.fm/music/Flowdan"">Read more on Last.fm</a>","['Frisco', 'Wiley', 'D Double E', 'Coki']"
746,hiphop,Jimothy Lacoste,27912,291061,"Timothy Gonzales, previously known as Jimothy Lacoste and subsequently by his stage name, Jimothy, is a rapper and musician from Camden, North London, associated with the bedroom pop and DIY genres

 <a href=""https://www.last.fm/music/Jimothy+Lacoste"">Read more on Last.fm</a>","['jimothy', 'leyma', 'Jesse James Solomon', 'OSQUELLO']"
751,hiphop,Hip Hip Thursday,10,40," <a href=""https://www.last.fm/music/Hip+Hip+Thursday"">Read more on Last.fm</a>",[]
755,hiphop,Hendersin,28181,379997,"Never falling victim to classification, Hendersin aims to promote positivity and pleasure.  Let’s take a look at the current state of the music industry.

Decreasing attention spans and increasing online media usage have created a new genre of artist deemed ""college rap.""  The name springs from the overwhelming number of creative students who have been able to leverage their music through social media and on-campus groups.  This new wave of artist <a href=""https://www.last.fm/music/Hendersin"">Read more on Last.fm</a>","['Ivan B', 'YONAS', 'Luke Christopher', 'Witt Lowry']"
761,hiphop,ForsakenHydra,2304,8348," <a href=""https://www.last.fm/music/ForsakenHydra"">Read more on Last.fm</a>","['Kaa$h Ki', 'Prin$e Alexander', 'Sad Angel', 'Ozito']"
772,hiphop,Kay the Aquanaut,3783,64988,"Kay the Aquanaut is one of the most successful and hard working independent musician’s within the Canadian hip-hop genre. He has released six solo albums, one album as a member of the group Metropolis Now and over a hundred songs in the last decade. 

Kay's solo albums include  Solitude Savannah (2002), Waist Deep in Concrete (2004), Spinning Blue Planet (2007), Nickelodeon Ethics (2010), We Sold Our Clothes to the State (2011) and Waterloo (2011). <a href=""https://www.last.fm/music/Kay+the+Aquanaut"">Read more on Last.fm</a>","['Factor', 'Cam the Wizzard', 'Awol One & Factor', 'David Ramos']"
779,hiphop,Visionaries,52138,476534,"There are more than one band with this name.
1) Los Angeles hip hop.
2) Florida death metal

It may also be an incorrect artist tag for The Visionaries. If so, do last.fm and yourself a favour and fix your artist tags.

1) Visionaries is a political hip hop group from Los Angeles, California. The group is notable for focusing on positive issues as well as the diverse ethnic origins of its members. The group formed in 1995, and have since released four full-length albums on Up Above Records. <a href=""https://www.last.fm/music/Visionaries"">Read more on Last.fm</a>","['2Mex', 'LMNO', 'Zion I & The Grouch', 'Abstract Rude']"
784,hiphop,Trizz,13186,121302,"Trizz, born Arthur “Tre” Lea III, is a self-released rapper based out Los Angeles, Calif. The young rapper became an avid music aficionado at an early age, first picking up a microphone at the tender age of nine. Growing up in the suburbs of the Inland Empire, hip-hop became a way for Trizz and his neighborhood friends to escape boredom and the simplicities of living life on the outskirts. As his writing skills developed, Trizz perfected his lyrical skill and began producing his own beats and mixtapes under the moniker “Young Trizz. <a href=""https://www.last.fm/music/Trizz"">Read more on Last.fm</a>","['Rakz', 'Sahtyre', 'Young LS', 'Kyle Bent']"
787,hiphop,Kenny Mason,230811,7890013,"Edwin Kenneth Green Jr. (born December 17, 1994), better known by his stage name Kenny Mason, is an independent American rapper, singer-songwriter, and record producer. Born in West Atlanta, Georgia, Mason has been an influential figure in the contemporary rap and hip-hop scenes. He gained significant attention with the release of his breakout single ""Hit"" in August 2019.

Mason's musical style is characterized by its blend of rap, punk, and experimental sounds. <a href=""https://www.last.fm/music/Kenny+Mason"">Read more on Last.fm</a>","['Paris Texas', 'Smino', 'Ag Club', 'EARTHGANG']"
802,hiphop,Emma Lee M.C.,370,1194," <a href=""https://www.last.fm/music/Emma+Lee+M.C."">Read more on Last.fm</a>","['Spittzwell', 'Meduulla', 'Alias Molombo', 'J. Sands']"
807,hiphop,Pop hip-hop pop music,13,15," <a href=""https://www.last.fm/music/Pop+hip-hop+pop+music"">Read more on Last.fm</a>",[]
813,hiphop,Sett,17441,144921,"Sett (Hrvoje Marjanović) also known as Admiral Domazett Lošo is a Croatian MC/Producer known for his rugged, underground, rock based beats and vulgar, hardcore, socialy aware rhymes... 

After 2 indie albums ""Demo Za Demos"" & ""....Izmi"" he released ""Dnevnik Dvorske Lude"" for a major label Morris/Aquarius Records in  2006... 

He's a G, he's a poet, he's a muthafukka ya love to bump in ya low cost cars on your wack car stereos. So bump it fucka! <a href=""https://www.last.fm/music/Sett"">Read more on Last.fm</a>","['CO3', 'FTO Sett', 'Lil Double 0', 'Big Scarr']"
814,hiphop,Caserta,4413,11997," <a href=""https://www.last.fm/music/Caserta"">Read more on Last.fm</a>","['Gary Sloan', 'Groovesh', 'Alex & Digby', 'Dudley Strangeways']"
816,hiphop,ToeKnee,55,2336," <a href=""https://www.last.fm/music/ToeKnee"">Read more on Last.fm</a>",[]
823,hiphop,GurtyBeats,43348,216516," <a href=""https://www.last.fm/music/GurtyBeats"">Read more on Last.fm</a>","['Don Philippe', 'Jordyn Edmonds', 'Moonspatz', 'Sp//W']"
824,hiphop,Lil Jon,751282,4438753,"Jonathan Mortimer Smith (born January 27, 1971 in Atlanta, Georgia), better known by his stage name Lil Jon, is an American rapper, actor, producer and member of the crunk group Lil Jon & The East Side Boyz. Lil Jon formed the group with friends Big Sam and Lil Bo, and they released five studio albums and have had many hit songs. He's prehaps best known for his iconic single ""Get Low"", which featured the Ying Yang Twins and reached #2 on the Billboard 100. He released his debut solo album, 'Crunk Rock', in June 2010. <a href=""https://www.last.fm/music/Lil+Jon"">Read more on Last.fm</a>","['Lil Jon & The East Side Boyz', 'Ying Yang Twins', 'Dem Franchize Boyz', 'Roy Jones Jr.']"
829,hiphop,Pop,34184,229620,"There are several artists on Last.fm that use the name ""Pop"":

1) POP is a Japanese idol group that was formed in 2014, which was originally a duo known as pla2me. They debuted at TOKYO IDOL FESTIVAL that year and released the single Plastic 2 Mercy, produced by Matsukuma Kenta. After member Mari announced her graduation from the group, four new members were recruited and their name was changed to ""POP"" (Period of Plastic 2 Mercy). 

The group's current lineup is as follows: Kamiya Saki (leader) <a href=""https://www.last.fm/music/Pop"">Read more on Last.fm</a>","['Taxi Doll', '46bliss', 'POP!', 'Haley Bennett']"
830,hiphop,O.T. Genasis,301101,1871962,"Odis Flores, better know as ""O.T. Genasis"", is a rapper of Belizean descent who grew up in Long Beach, California, after his parents immigrated to the United States. He was first signed by G-Unit Records in 2011, where he released his 2012 mixtape, Black Belt. He was later dropped from the label, only to be discovered by Busta Rhymes when he performed ""Touchdown"" four times in a row. This performance led to his deal with Busta's Conglomerate label and the remix to ""Touchdown"", which featured Busta, French Montana, and Juicy J. <a href=""https://www.last.fm/music/O.T.+Genasis"">Read more on Last.fm</a>","['Yo Gotti', 'Desiigner', 'Young Dolph', 'Tyga']"
831,hiphop,Billy Dean Thomas,1621,4944," <a href=""https://www.last.fm/music/Billy+Dean+Thomas"">Read more on Last.fm</a>","['Jaewynn', 'Ness Nite', 'pinkcaravan!', 'Brittney Chantele']"
832,hiphop,Mzuki,1108,3566," <a href=""https://www.last.fm/music/Mzuki"">Read more on Last.fm</a>","['A.GIRL', 'Tasman Keith', 'Jalmar', 'Mike Akox']"
834,hiphop,Honey Bxby,7855,34765," <a href=""https://www.last.fm/music/Honey+Bxby"">Read more on Last.fm</a>","['Bellah', 'Inayah', 'VEDO', 'Reggie Becton']"
839,hiphop,Metro Boomin,1873215,171963279,"Leland Tyler Wayne, better known by his stage name Metro Boomin, is a highly successful record producer, record executive, songwriter, and DJ. Born on September 16, 1993, in St. Louis, Missouri, Wayne began his career in music production while still in high school. He quickly gained recognition for his work with Atlanta-based hip hop and trap artists such as Future, 21 Savage, Gucci Mane, and Migos, and has since become one of the most sought-after producers in the industry. <a href=""https://www.last.fm/music/Metro+Boomin"">Read more on Last.fm</a>","['21 Savage', 'JACKBOYS', 'EI8HT', 'Huncho Jack']"
843,hiphop,Gia Gray,228,484," <a href=""https://www.last.fm/music/Gia+Gray"">Read more on Last.fm</a>","['Allana Verde', 'Cher Blu', 'dolapo', 'TAET']"
847,hiphop,yeletez,100,1131,"new jeresy is my favourite continent
(i make shit mixes) <a href=""https://www.last.fm/music/yeletez"">Read more on Last.fm</a>","['BEARINGS BROKEN', 'Key After Key', 'LAUNDROMADNESS', 'title wave']"
848,hiphop,Michelangelo of Hip Hop,12,314," <a href=""https://www.last.fm/music/Michelangelo+of+Hip+Hop"">Read more on Last.fm</a>",[]
849,hiphop,2024 Hottest Songs,28,66," <a href=""https://www.last.fm/music/2024+Hottest+Songs"">Read more on Last.fm</a>",[]
851,hiphop,plainfacedgirl,2025,9115," <a href=""https://www.last.fm/music/plainfacedgirl"">Read more on Last.fm</a>","['Styli', 'LÂLKA', 'Maria Domark', 'Oh Boy']"
853,hiphop,Johnny Yukon,118442,893227,"Johnny Yukon is a Los Angeles-based, Philadelphia-bred singer/songwriter and producer who began making waves in 2015 with his beat-heavy, urban pop confections on SoundCloud. As his internet profile increased, Yukon began drawing interest from labels, and eventually settled on Atlantic. In 2017 he issued a trio of singles that began with the infectious ""Laptop,"" which was co-produced by Drake collaborator Frank Dukes. He followed up that success two months later with ""Paper"" and ""Malibu Feels. <a href=""https://www.last.fm/music/Johnny+Yukon"">Read more on Last.fm</a>","['Anfa Rose', 'DaniLeigh', 'DillanPonders', 'Eli Sostre']"
854,hiphop,Hip Hop Is Dead,46,89," <a href=""https://www.last.fm/music/Hip+Hop+Is+Dead"">Read more on Last.fm</a>",[]
875,hiphop,HIP-ON,38,69," <a href=""https://www.last.fm/music/HIP-ON"">Read more on Last.fm</a>",[]
876,hiphop,Denzel Curry,1217662,110579946,"Denzel Rae Don Curry (born February 16, 1995) is an American rapper. Raised in Carol City, Florida, Curry started rapping while in sixth grade and began working on his first mixtape in 2011. On September 24, 2011, Curry released his first mixtape, titled King Remembered Underground Tape 1991–1995. The whole project that Curry posted was later included on SpaceGhostPurrp's page, which prompted the birth of Denzel's music career. Following the release of Curry's first mixtape <a href=""https://www.last.fm/music/Denzel+Curry"">Read more on Last.fm</a>","['JID', 'Denzel Curry & Kenny Beats', 'Joey Bada$$', 'JPEGMAFIA']"
878,hiphop,Gdaedae,7,116," <a href=""https://www.last.fm/music/Gdaedae"">Read more on Last.fm</a>",[]
884,hiphop,DxR,2836,23820,"DXR is an alias for Dexter (Remy Verheijen) on Dutch electro/techno label Klakson Records.  <a href=""https://www.last.fm/music/DxR"">Read more on Last.fm</a>","['A Ldric', 'B.D.I.', 'Xenia Beliayeva', 'Birds And Souls']"
885,hiphop,Veeze,160354,8652882,"A shrouded yet essential figure in the Michigan rap scene, Veeze is somewhat of a musical enigma, building one of the genre’s most die-hard fan bases despite rarely releasing material of his own. Though he solidified his inimitable, lethargic style on debut mixtape Navy Wavy (2019) and a sparse collection of 2020 anthems, he remained prominent outside of music as within it, a constant presence in the social spheres and music videos of the region’s most prolific artists. <a href=""https://www.last.fm/music/Veeze"">Read more on Last.fm</a>","['Babyface Ray', 'Baby Smoove', 'DaeMoney', 'IceWear Vezzo']"
888,hiphop,Dooley-O,2949,18820,"Hip-hop from New Haven, Connecticut, U.S.A. Legendary Connecticut rapper-producer-DJ Dooley-O is widely recognised in DJ circles as the first in hip-hop to sample obscure 70's band Skull Snaps' It's A New Day. After recording an unreleased album for the label Tavdash (one time home to R Kelly), Dooley presented the public access series Graffiti TV and became a mentor figure to funk-curator Egon who would later head prestigious independent label, Stones Throw. <a href=""https://www.last.fm/music/Dooley-O"">Read more on Last.fm</a>","['Hadda & DJ A', 'Quotable', 'Project Move', 'Pugslee Atomz']"
889,hiphop,lo fi hip hop,22624,293161," <a href=""https://www.last.fm/music/lo+fi+hip+hop"">Read more on Last.fm</a>","['Lofi Sleep Chill & Study', 'ChillHop Music', 'Lofi Sad', 'Barradeen']"
890,hiphop,Unknown Artist,1,1,"Unknown Artist can mean a number of things. Here are eight possible causes:

1. Your tags are not correct, please fix them!

2. You are listening to track 19 on the Kill Rock Stars label compilation ""Kill Rock Stars"". (KRS201, 1991) Even the label's website doesn't identify this track.

3. You are listening to a CD, not too old to be recognized, and Last.fm simply will not recognize it.

4. You are listening to Cambodian Cassette Archives: http://www.discogs.com/release/563732 <a href=""https://www.last.fm/music/+noredirect/Unknown+Artist"">Read more on Last.fm</a>",[]
894,hiphop,Kehlani,1207346,45092458,"Kehlani Ashley Parrish (born April 24, 1995), known professionally as Kehlani, is an American singer and songwriter. Kehlani is originally from Oakland, California where they achieved initial fame as a member of the teen pop group, Poplyfe, which was a finalist on America's Got Talent. Kehlani released their first mixtape Cloud 19, in 2014; followed by their sophomore mixtape You Should Be Here the next year. Their debut album SweetSexySavage was released in January 2017 to mainly positive reception <a href=""https://www.last.fm/music/Kehlani"">Read more on Last.fm</a>","['Kiana Ledé', 'Summer Walker', 'Victoria Monét', 'Ella Mai']"
898,hiphop,Christopher V green,1,1," <a href=""https://www.last.fm/music/Christopher+V+green"">Read more on Last.fm</a>",[]
905,hiphop,Tony Mitchell,391,7671," <a href=""https://www.last.fm/music/Tony+Mitchell"">Read more on Last.fm</a>","['Later Sons', 'Silent Tiger', 'Nitrate', 'Kent Hilli']"
906,hiphop,Lupe Fiasco,2562527,55531529,"Wasalu Muhammad Jaco (born February 16, 1982 in Chicago, Illinois), better known by his stage name Lupe Fiasco, is a Grammy Award-winning American hip-hop artist and producer. He first became known to the mainstream hip-hop community in 2005 when he appeared on Kanye West's album Late Registration on the track ""Touch the Sky."" In 2006 Lupe released his debut album, Lupe Fiasco's Food & Liquor on Atlantic Records, and in December 2007 he released his second full length album, Lupe Fiasco's The Cool  . <a href=""https://www.last.fm/music/Lupe+Fiasco"">Read more on Last.fm</a>","['Ab-Soul', 'Big K.R.I.T.', 'Nas', 'Blu & Exile']"
907,hiphop,Serengeti,97003,1407946,"Serengeti is a multidimensional artist that utilizes his eclectic versatility to create unconventional, political music deeply rooted in Hip Hop culture. The use of the title Serengeti is an artistic symbol of his conceptions, forged to mirror the dense lakes and jungles of the African landscape from which his name and lineage is derived. The Chicago-born talent makes music to invoke emotion and promote change, citing racial disharmony, political ostracism and personal conflict as inspiration. <a href=""https://www.last.fm/music/Serengeti"">Read more on Last.fm</a>","['Kenny Segal', 'Open Mike Eagle', 'Kenny Segal & Serengeti', 'Busdriver']"
908,hiphop,Instrumental Hip Hop Beats Gang,2221,10482," <a href=""https://www.last.fm/music/Instrumental+Hip+Hop+Beats+Gang"">Read more on Last.fm</a>","['Trap Beats & Beats De Rap & Instrumental Rap Hip Hop', 'Khz Music', 'Rappy Dooski', 'Instrumental rap hip hop']"
911,hiphop,Desiigner,729139,7651467,"Sidney Royel Selby III (born May 3, 1997), better known by his stage name Desiigner, is an American hip hop recording artist from Brooklyn, New York. He rose to prominence when his debut single ""Panda"", reached number one on the US Billboard Hot 100 chart. In February 2016, fellow American rapper Kanye West (who sampled ""Panda"" for his seventh album The Life of Pablo), announced Desiigner's signing to his GOOD Music imprint, under the aegis of Def Jam Recordings. <a href=""https://www.last.fm/music/Desiigner"">Read more on Last.fm</a>","['Tyga', 'Rae Sremmurd', 'DillanPonders', 'Ace Hood']"
918,hiphop,Missy Elliott,1730685,20450482,"Melissa Arnette Elliott (born July 1, 1971 in  Portsmouth, Virginia), better known by her stage name Missy ""Misdemeanor"" Elliott, is an American Grammy Award winning rapper, singer, producer, actress and former member of the R&B group Sista. With sales of over seven million in the United States alone she is the only female rapper to have six albums certified platinum by the RIAA and has worked extensively as a producer for many other artists along with her childhood friend Timbaland. <a href=""https://www.last.fm/music/Missy+Elliott"">Read more on Last.fm</a>","[""Lil' Kim"", 'Da Brat', 'Mary J. Blige', 'Foxy Brown']"
919,hiphop,Gunna,1327146,111586406,"Sergio Giavanni Kitchens (born June 14, 1993), known professionally as Gunna, is an American rapper, singer and songwriter. Best known for his collaborations with Young Thug and Lil Baby, he is signed to Thug's record label, YSL Records, as well as 300 Entertainment and Atlantic Records.[2] He released his debut studio album, Drip or Drown 2 on February 22, 2019 and followed it up with his second studio album Wunna on May 22, 2020, which debuted atop the Billboard 200.[3] <a href=""https://www.last.fm/music/Gunna"">Read more on Last.fm</a>","['Young Thug', 'Lil Keed', 'Future', 'Lil Baby & Gunna']"
921,hiphop,D4L,267775,1115847,"D4L was an American rap group. They were composed of Fabo (now known as 2$ Fabo), Mook-B, Stoney and Shawty Lo. They are best known for their hit song ""Laffy Taffy,"" which reached number-one in the U.S. in 2006.

Rapper Shawty Lo self-funded the group in its early days. He explained that the group's name stands for ""Down for Life"". D4L signed to the independent Dee Money Entertainment, which released the group's debut in conjunction with Asylum Records. <a href=""https://www.last.fm/music/D4L"">Read more on Last.fm</a>","['Dem Franchize Boyz', 'Yung Joc', 'Ying Yang Twins', 'Unk']"
932,hiphop,Lil Keed,292480,7784068,"Raqhid Jevon Render  (March 16, 1998 – May 13, 2022), professionally known as Lil Keed, was an American rapper and songwriter. He was signed to Young Thug's record label YSL Records, as well as 300 Entertainment. His song ""Nameless"" reached number 42 on the Billboard Hip Hop/R&B Songs Airplay chart. <a href=""https://www.last.fm/music/Lil+Keed"">Read more on Last.fm</a>","['Lil Gotit', 'Young Thug', 'Gunna', 'Young Nudy']"
938,hiphop,Le Druss,27,40," <a href=""https://www.last.fm/music/Le+Druss"">Read more on Last.fm</a>",[]
949,hiphop,Dilly-Yo!,3018,5140," <a href=""https://www.last.fm/music/Dilly-Yo%21"">Read more on Last.fm</a>","['Vapa', 'Lipphead']"
952,hiphop,Natethoven,3152,6398," <a href=""https://www.last.fm/music/Natethoven"">Read more on Last.fm</a>","['Ranch0', 'DR. Moriarity', 'Caspa Clark', 'Muni']"
953,hiphop,Linkin Park,5668557,477731778,"Linkin Park is an American rock band from Agoura Hills, California. The band's current lineup comprises of vocalist/rhythm guitarist/keyboardist Mike Shinoda, lead guitarist Brad Delson, bassist Dave Farrell, DJ/turntablist Joe Hahn, drummer Colin Brittain, and lead vocalist Emily Armstrong. Shinoda, Delson, Farrell and Hahn are founding members. Vocalists Mark Wakefield, Chester Bennington & drummer Rob Bourdon are former members of the band. Categorized as alternative rock <a href=""https://www.last.fm/music/Linkin+Park"">Read more on Last.fm</a>","['Mike Shinoda', 'Dead by Sunrise', 'Jay-Z and Linkin Park', 'Grey Daze']"
955,hiphop,Metatext,1236,3671," <a href=""https://www.last.fm/music/Metatext"">Read more on Last.fm</a>","['Ouhana', 'Dan Bay', 'Geplantes Nichtstun', 'Temple Tears']"
